record_id,title,doi,url,year,venue,source_db,abstract
13,Bioformulation of Microbial Biocontrol Agents for a Sustainable Agriculture,10.1007/978-3-030-53238-3_16,https://openalex.org/W3119367981,2020,Progress in biological control,openalex,"Abstract The application of microbial based biopesticides has become a sustainable alternative to the use of chemicals to prevent yield losses due to plant pathogens. However, microbial based biopesticides are often unsuccessfully formulated and do not meet the demanding regulatory standards required by the agencies, which hinders their commercialization. Hence, an outline on the approaches to attain more effective formulations might be useful for the development of future more effective products. With this aim, this chapter reports the current state of biocontrol strategies and describes the principles of microbial biocontrol formulations. Emphasis is placed on techniques and tools available for the development and characterisation of microbial products. To provide glimpses on the possible formulations, the different existing additives, carriers, inoculation techniques and formulation types are exhaustively reviewed. Finally, requirements and principles for efficacy evaluation of plant protection products in the European Union are included (see Chaps. 10.1007/978-3-030-53238-3_11 , 10.1007/978-3-030-53238-3_18 and 10.1007/978-3-030-53238-3_19 )."
14,Agentic AI,10.1007/978-3-031-90026-6,https://openalex.org/W4411152359,2025,Progress in IS,openalex,
15,Agent-based manufacturing — review and expert evaluation,10.1007/s00170-023-11517-8,https://openalex.org/W4379536815,2023,The International Journal of Advanced Manufacturing Technology,openalex,"Abstract The advent of smart manufacturing and the exposure to a new generation of technological enablers have revolutionized the way manufacturing process is carried out. Cyber-Physical Production Systems (CPPS) are introduced as main actors of this manufacturing shift. They are characterized for having high levels of communication, integration and computational capabilities that led them to a certain level of autonomy. Despite the high expectations and vision of CPPS, it still remains an exploratory topic. Multi-Agent Systems (MAS) have been widely used by software engineers to solve traditional computing problems, e.g., banking transactions. Because of their high levels of distribution and autonomous capabilities, MAS have been considered by the research community as a good solution to design and implement CPPS. This work first introduces a collection of requirements and characteristics of smart manufacturing. A comprehensive review of various research applications is presented to understand the current state of the art and the application of agent technology in manufacturing. Considering the smart manufacturing requirements and current research application, a SWOT analysis was formulated which identifies pros and cons of the implementation of agents in industry. The SWOT analysis was further validated by an industrial expert evaluation and the main findings and discussion of the results are presented."
16,Drug repurposing strategies in the development of potential antifungal agents,10.1007/s00253-021-11407-7,https://openalex.org/W3173203950,2021,Applied Microbiology and Biotechnology,openalex,
17,The Chatbot Usability Scale the Design and Pilot of a Usability Scale for Interaction with AI-Based Conversational Agents,10.1007/s00779-021-01582-9,https://openalex.org/W3187911027,2021,Personal and Ubiquitous Computing,openalex,"Abstract Standardised tools to assess a user’s satisfaction with the experience of using chatbots and conversational agents are currently unavailable. This work describes four studies, including a systematic literature review, with an overall sample of 141 participants in the survey (experts and novices), focus group sessions and testing of chatbots to (i) define attributes to assess the quality of interaction with chatbots and (ii) the designing and piloting a new scale to measure satisfaction after the experience with chatbots. Two instruments were developed: (i) A diagnostic tool in the form of a checklist (BOT-Check). This tool is a development of previous works which can be used reliably to check the quality of a chatbots experience in line with commonplace principles. (ii) A 15-item questionnaire (BOT Usability Scale, BUS-15) with estimated reliability between .76 and .87 distributed in five factors. BUS-15 strongly correlates with UMUX-LITE by enabling designers to consider a broader range of aspects usually not considered in satisfaction tools for non-conversational agents, e.g. conversational efficiency and accessibility, quality of the chatbot’s functionality and so on. Despite the convincing psychometric properties, BUS-15 requires further testing and validation. Designers can use it as a tool to assess products, thus building independent databases for future evaluation of its reliability, validity and sensitivity."
19,On the ability of virtual agents to decrease cognitive load an experimental study,10.1007/s10257-020-00471-7,https://openalex.org/W3036413616,2020,Information Systems and e-Business Management,openalex,"Abstract When attempting to solve a problem, humans call upon cognitive resources. These resources are limited, and the degree of their utilisation is described as cognitive load. While the number of parameters to be taken into account and to be processed by modern-day knowledge workers increases, their cognitive resources do not. Research shows that too high a load can increase stress and failure rates and decrease the work satisfaction and performance of employees. It is thus in the interest of organisations to reduce the cognitive load of their employees and keep it at a moderate level. One way to achieve this may be the application of virtual assistants (VAs), software programs, that can be addressed via voice or text commands and respond to the users’ input. This study uses a laboratory experiment with N = 91 participants comparing two groups in their ability to solve a task. One group was able to make use of a VA while the other could not. Besides task performance, the cognitive load of the participants was measured. Results show that (a) cognitive load is negatively related to task performance, (b) the group using the VA performed better at the task and (c) the group using the VA had a lower cognitive load. These findings show that VAs are a viable way to support employees and can increase their performance. It adds to the growing field of IS research on VAs by expanding the field for the concept of cognitive load."
20,Agent programming in the cognitive era,10.1007/s10458-020-09453-y,https://openalex.org/W3025658402,2020,Autonomous Agents and Multi-Agent Systems,openalex,
21,Multi-agent reinforcement learning for resources allocation optimization a survey,10.1007/s10462-025-11340-5,https://openalex.org/W4413736352,2025,Artificial Intelligence Review,openalex,"Abstract Multi-Agent Reinforcement Learning (MARL) has become a powerful framework for numerous real-world applications, modeling distributed decision-making and learning from interactions with complex environments. Resource Allocation Optimization (RAO) benefits significantly from MARL’s ability to tackle dynamic and decentralized contexts. MARL-based approaches are increasingly applied to RAO challenges across sectors playing a pivotal role in industry 4.0 developments. This survey provides a comprehensive review of recent MARL algorithms for RAO, encompassing core concepts, classifications, design steps and benchmarks. By outlining the current research landscape and identifying primary challenges and future directions, this survey aims to support researchers and practitioners in leveraging MARL’s potential to advance resource allocation solutions."
22,"Agentic AI a comprehensive survey of architectures, applications, and future directions",10.1007/s10462-025-11422-4,https://openalex.org/W4416209823,2025,Artificial Intelligence Review,openalex,"Abstract Agentic AI represents a transformative shift in artificial intelligence, but its rapid advancement has led to a fragmented understanding, often conflating modern neural systems with outdated symbolic models—a practice known as conceptual retrofitting . This survey cuts through this confusion by introducing a novel dual-paradigm framework that categorizes agentic systems into two distinct lineages: the symbolic/classical (relying on algorithmic planning and persistent state) and the neural/generative (leveraging stochastic generation and prompt-driven orchestration). Through a systematic PRISMA-based review of 90 studies (2018–2025), we provide a comprehensive analysis structured around this framework across three dimensions: (1) the theoretical foundations and architectural principles defining each paradigm; (2) domain-specific implementations in healthcare, finance, and robotics, demonstrating how application constraints dictate paradigm selection; and (3) paradigm-specific ethical and governance challenges, revealing divergent risks and mitigation strategies. Our analysis reveals that the choice of paradigm is strategic: symbolic systems dominate safety-critical domains (e.g., healthcare), while neural systems prevail in adaptive, data-rich environments (e.g., finance). Furthermore, we identify critical research gaps, including a significant deficit in governance models for symbolic systems and a pressing need for hybrid neuro-symbolic architectures. The findings culminate in a strategic roadmap arguing that the future of Agentic AI lies not in the dominance of one paradigm, but in their intentional integration to create systems that are both adaptable and reliable . This work provides the essential conceptual toolkit to guide future research, development, and policy toward robust and trustworthy hybrid intelligent systems."
23,LLM agents security duality a comprehensive survey of self-security and empowered cybersecurity,10.1007/s10462-026-11563-0,http://arxiv.org/abs/2606.28450v1,2026,arXiv,arxiv,"Large language model (LLM) agents are rapidly being integrated into real-world systems. Their autonomy and tool-use capabilities generate substantial value while simultaneously expanding the security attack surface. This survey provides a comprehensive overview of the opportunities and challenges of LLM agents in security, focusing on two core areas: (1) threats to LLM agents themselves and corresponding mitigation strategies (LLM agents self-security), and (2) the role of LLM agents in empowering the cybersecurity lifecycle across offense and defense (LLM agents empowered cybersecurity). We first examine the internal and external attack surfaces of agents, propose a taxonomy organized by threat sources, and analyze associated mitigations and evaluation frameworks. We then investigate how agent capabilities are applied in cybersecurity practice and present, to our knowledge, the first agent-empowerment framework aligned with the full cyber offense-defense lifecycle. By systematically surveying these two areas, we are the first to highlight a positive feedback synergy between LLM agents self-security and empowered cybersecurity, offering new insights for the advancement of both. We further identify current limitations and outline promising directions for future research. The insights provided aim to catalyze the coordinated development of LLM agents self-security and agent empowered cybersecurity, paving the way for more capable and robust agent applications."
25,MAIDS Malicious Agent Identification-based Data Security Model for Cloud Environments,10.1007/s10586-023-04263-9,http://arxiv.org/abs/2412.14490v1,2024,arXiv,arxiv,"With the vigorous development of cloud computing, most organizations have shifted their data and applications to the cloud environment for storage, computation, and sharing purposes. During storage and data sharing across the participating entities, a malicious agent may gain access to outsourced data from the cloud environment. A malicious agent is an entity that deliberately breaches the data. This information accessed might be misused or revealed to unauthorized parties. Therefore, data protection and prediction of malicious agents have become a demanding task that needs to be addressed appropriately. To deal with this crucial and challenging issue, this paper presents a Malicious Agent Identification-based Data Security (MAIDS) Model which utilizes XGBoost machine learning classification algorithm for securing data allocation and communication among different participating entities in the cloud system. The proposed model explores and computes intended multiple security parameters associated with online data communication or transactions. Correspondingly, a security-focused knowledge database is produced for developing the XGBoost Classifier-based Malicious Agent Prediction (XC-MAP) unit. Unlike the existing approaches, which only identify malicious agents after data leaks, MAIDS proactively identifies malicious agents by examining their eligibility for respective data access. In this way, the model provides a comprehensive solution to safeguard crucial data from both intentional and non-intentional breaches, by granting data to authorized agents only by evaluating the agents behavior and predicting the malicious agent before granting data."
26,Sensitivity analysis of agent-based models a new protocol,10.1007/s10588-021-09358-5,https://openalex.org/W4206721495,2022,Computational and Mathematical Organization Theory,openalex,"Abstract Agent-based models (ABMs) are increasingly used in the management sciences. Though useful, ABMs are often critiqued: it is hard to discern why they produce the results they do and whether other assumptions would yield similar results. To help researchers address such critiques, we propose a systematic approach to conducting sensitivity analyses of ABMs. Our approach deals with a feature that can complicate sensitivity analyses: most ABMs include important non-parametric elements, while most sensitivity analysis methods are designed for parametric elements only. The approach moves from charting out the elements of an ABM through identifying the goal of the sensitivity analysis to specifying a method for the analysis. We focus on four common goals of sensitivity analysis: determining whether results are robust, which elements have the greatest impact on outcomes, how elements interact to shape outcomes, and which direction outcomes move when elements change. For the first three goals, we suggest a combination of randomized finite change indices calculation through a factorial design. For direction of change, we propose a modification of individual conditional expectation (ICE) plots to account for the stochastic nature of the ABM response. We illustrate our approach using the Garbage Can Model, a classic ABM that examines how organizations make decisions."
27,Interacting with educational chatbots A systematic review,10.1007/s10639-022-11177-3,https://openalex.org/W4284991798,2022,Education and Information Technologies,openalex,"Abstract Chatbots hold the promise of revolutionizing education by engaging learners, personalizing learning activities, supporting educators, and developing deep insight into learners’ behavior. However, there is a lack of studies that analyze the recent evidence-based chatbot-learner interaction design techniques applied in education. This study presents a systematic review of 36 papers to understand, compare, and reflect on recent attempts to utilize chatbots in education using seven dimensions: educational field, platform, design principles, the role of chatbots, interaction styles, evidence, and limitations. The results show that the chatbots were mainly designed on a web platform to teach computer science, language, general education, and a few other fields such as engineering and mathematics. Further, more than half of the chatbots were used as teaching agents, while more than a third were peer agents. Most of the chatbots used a predetermined conversational path, and more than a quarter utilized a personalized learning approach that catered to students’ learning needs, while other chatbots used experiential and collaborative learning besides other design principles. Moreover, more than a third of the chatbots were evaluated with experiments, and the results primarily point to improved learning and subjective satisfaction. Challenges and limitations include inadequate or insufficient dataset training and a lack of reliance on usability heuristics. Future studies should explore the effect of chatbot personality and localization on subjective satisfaction and learning effectiveness."
28,Designing Personality-Adaptive Conversational Agents for Mental Health Care,10.1007/s10796-022-10254-9,https://openalex.org/W4214810114,2022,Information Systems Frontiers,openalex,"Millions of people experience mental health issues each year, increasing the necessity for health-related services. One emerging technology with the potential to help address the resulting shortage in health care providers and other barriers to treatment access are conversational agents (CAs). CAs are software-based systems designed to interact with humans through natural language. However, CAs do not live up to their full potential yet because they are unable to capture dynamic human behavior to an adequate extent to provide responses tailored to users' personalities. To address this problem, we conducted a design science research (DSR) project to design personality-adaptive conversational agents (PACAs). Following an iterative and multi-step approach, we derive and formulate six design principles for PACAs for the domain of mental health care. The results of our evaluation with psychologists and psychiatrists suggest that PACAs can be a promising source of mental health support. With our design principles, we contribute to the body of design knowledge for CAs and provide guidance for practitioners who intend to design PACAs. Instantiating the principles may improve interaction with users who seek support for mental health issues."
29,On the Integration of Agents and Digital Twins in Healthcare,10.1007/s10916-020-01623-5,https://openalex.org/W3047581883,2020,Journal of Medical Systems,openalex,"A digital twin is a digital representation of a physical asset reproducing its data model, its behaviour and its communication with other physical assets. Digital twins act as a digital replica for the physical object or process they represent, providing nearly real-time monitoring and evaluation without being in close proximity. Although most of their concrete applications can be found mainly in the industrial context, healthcare represents another relevant area where digital twins can have a disruptive impact. The main research question tackled by this paper is about the integration of digital twins with agents and Multi-Agent Systems (MAS) technologies in healthcare. After providing an overview of the application of digital twins in healthcare, in this paper, we discuss our vision about agent-based digital twins, and we present a first case study, about the application of agent-based digital twins to the management of severe traumas."
30,Secure communication between UAVs using a method based on smart agents in unmanned aerial vehicles,10.1007/s11227-020-03462-0,https://openalex.org/W3096157131,2020,The Journal of Supercomputing,openalex,
33,A survey on large language model based autonomous agents,10.1007/s11704-024-40231-1,https://openalex.org/W4393065402,2024,Frontiers of Computer Science,openalex,"Abstract Autonomous agents have long been a research focus in academic and industry communities. Previous research often focuses on training agents with limited knowledge within isolated environments, which diverges significantly from human learning processes, and makes the agents hard to achieve human-like decisions. Recently, through the acquisition of vast amounts of Web knowledge, large language models (LLMs) have shown potential in human-level intelligence, leading to a surge in research on LLM-based autonomous agents. In this paper, we present a comprehensive survey of these studies, delivering a systematic review of LLM-based autonomous agents from a holistic perspective. We first discuss the construction of LLM-based autonomous agents, proposing a unified framework that encompasses much of previous work. Then, we present a overview of the diverse applications of LLM-based autonomous agents in social science, natural science, and engineering. Finally, we delve into the evaluation strategies commonly used for LLM-based autonomous agents. Based on the previous studies, we also present several challenges and future directions in this field."
34,Advances in the agent-based modeling of economic and social behavior,10.1007/s43546-021-00103-3,https://openalex.org/W3127065574,2021,SN Business & Economics,openalex,"In this review we discuss advances in the agent-based modeling of economic and social systems. We show the state of the art of the heuristic design of agents and how behavioral economics and laboratory experiments have improved the modeling of agent behavior. We further discuss how economic networks and social systems can be modeled and we discuss novel methodology and data sources. Lastly, we present an overview of estimation techniques to calibrate and validate agent-based models and show avenues for future research."
35,Multi-agent reinforcement learning for autonomous vehicles a survey,10.1007/s43684-022-00045-z,https://openalex.org/W4309349085,2022,Autonomous Intelligent Systems,openalex,"Abstract In the near future, autonomous vehicles (AVs) may cohabit with human drivers in mixed traffic. This cohabitation raises serious challenges, both in terms of traffic flow and individual mobility, as well as from the road safety point of view. Mixed traffic may fail to fulfill expected security requirements due to the heterogeneity and unpredictability of human drivers, and autonomous cars could then monopolize the traffic. Using multi-agent reinforcement learning (MARL) algorithms, researchers have attempted to design autonomous vehicles for both scenarios, and this paper investigates their recent advances. We focus on articles tackling decision-making problems and identify four paradigms. While some authors address mixed traffic problems with or without social-desirable AVs, others tackle the case of fully-autonomous traffic. While the latter case is essentially a communication problem, most authors addressing the mixed traffic admit some limitations. The current human driver models found in the literature are too simplistic since they do not cover the heterogeneity of the drivers’ behaviors. As a result, they fail to generalize over the wide range of possible behaviors. For each paper investigated, we analyze how the authors formulated the MARL problem in terms of observation, action, and rewards to match the paradigm they apply."
36,Scalable multi-agent reinforcement learning for distributed control of residential energy flexibility,10.1016/j.apenergy.2022.118825,https://openalex.org/W4220906859,2022,Applied Energy,openalex,"This paper proposes a novel scalable type of multi-agent reinforcement learning-based coordination for distributed residential energy. Cooperating agents learn to control the flexibility offered by electric vehicles, space heating and flexible loads in a partially observable stochastic environment. In the standard independent Q-learning approach, the coordination performance of agents under partial observability drops at scale in stochastic environments. Here, the novel combination of learning from off-line convex optimisations on historical data and isolating marginal contributions to total rewards in reward signals increases stability and performance at scale. Using fixed-size Q-tables, prosumers are able to assess their marginal impact on total system objectives without sharing personal data either with each other or with a central coordinator. Case studies are used to assess the fitness of different combinations of exploration sources, reward definitions, and multi-agent learning frameworks. It is demonstrated that the proposed strategies create value at individual and system levels thanks to reductions in the costs of energy imports, losses, distribution network congestion, battery depreciation and greenhouse gas emissions."
37,Renewable energy integration and microgrid energy trading using multi-agent deep reinforcement learning,10.1016/j.apenergy.2022.119151,https://openalex.org/W3215351807,2022,Applied Energy,openalex,"To reduce global greenhouse gas emissions, the world must find intelligent solutions to maximise the utilisation of carbon-free renewable energy sources. In this paper, multi-agent reinforcement learning is used to control a microgrid in a mixed cooperative and competitive setting. The agents observe fluctuating energy demand, dynamic wholesale energy prices, and intermittent renewable energy sources to control a hybrid energy storage system to maximise the utilisation of the renewables to reduce the energy costs of the grid. In addition, an aggregator agent trades with external microgrids competing against one another and the aggregator to reduce their own energy bills. For this, the algorithm deep deterministic policy gradients (DDPG) and multi-agent DDPG (MADDPG) are used to compare the use of a single global controller versus multiple distributed agents, along with the single and multi-agent variants of distributional DDPG (D3PG) and twin delayed DDPG (TD3). The research found it is significantly more profitable for the primary microgrid to sell energy on its own terms rather than selling back to the utility grid, and is also beneficial for the external microgrids as they also reduce their own energy bills. The methods that produced the greatest profits were the multi-agent approaches where each agent has its own reward function based on the principle of marginal contribution from game theory. The multi-agent approaches were better able to evaluate their performance controlling individual components of the environment which allowed them to develop their own unique policies for the different types of energy storage system."
38,Energy management for demand response in networked greenhouses with multi-agent deep reinforcement learning,10.1016/j.apenergy.2023.122349,https://openalex.org/W4388826560,2023,Applied Energy,openalex,
39,A multi-agent reinforcement learning method for distribution system restoration considering dynamic network reconfiguration,10.1016/j.apenergy.2024.123625,https://openalex.org/W4400009570,2024,Applied Energy,openalex,
40,An overview on multi-agent consensus under adversarial attacks,10.1016/j.arcontrol.2022.01.004,https://openalex.org/W4220788991,2022,Annual Reviews in Control,openalex,
